game_id,week,date,time,away_team,home_team,away_score,home_score,model_spread,actual_spread,edge,bet_team,bet_quality,recommendation,confidence
2025_08_CHI_BAL,8,2025-10-26,13:00,CHI,BAL,79.7,0.0,-21.4,6.5,-27.9,CHI,STRONG BET,Bet CHI -6.5,high
2025_08_CLE_NE,8,2025-10-26,13:00,CLE,NE,0.0,100.0,32.5,7.0,25.5,NE,STRONG BET,Bet NE +7.0,high
2025_08_TEN_IND,8,2025-10-26,16:25,TEN,IND,0.0,100.0,32.5,14.0,18.5,IND,STRONG BET,Bet IND +14.0,high
2025_08_WAS_KC,8,2025-10-27,20:15,WAS,KC,36.5,100.0,21.5,10.5,11.0,KC,STRONG BET,Bet KC +10.5,high
2025_08_MIN_LAC,8,2025-10-23,20:15,MIN,LAC,59.7,31.0,-6.1,3.0,-9.1,MIN,STRONG BET,Bet MIN -3.0,high
2025_08_DAL_DEN,8,2025-10-26,16:25,DAL,DEN,100.0,77.7,-4.2,3.5,-7.7,DAL,STRONG BET,Bet DAL -3.5,high
2025_08_NYJ_CIN,8,2025-10-26,13:00,NYJ,CIN,0.0,37.4,13.7,6.5,7.2,CIN,STRONG BET,Bet CIN +6.5,high
2025_08_NYG_PHI,8,2025-10-26,13:00,NYG,PHI,24.8,62.3,13.8,7.5,6.3,PHI,GOOD BET,Bet PHI +7.5,high
2025_08_TB_NO,8,2025-10-26,16:05,TB,NO,53.8,10.6,-10.5,-4.5,-6.0,TB,GOOD BET,Bet TB +4.5,high
2025_08_GB_PIT,8,2025-10-26,20:20,GB,PIT,95.5,94.9,2.3,-3.0,5.3,PIT,GOOD BET,Bet PIT -3.0,low
2025_08_MIA_ATL,8,2025-10-26,13:00,MIA,ATL,17.2,22.2,4.0,7.0,-3.0,MIA,LEAN,Bet MIA -7.0,low
2025_08_SF_HOU,8,2025-10-26,13:00,SF,HOU,49.8,47.8,1.9,1.5,0.4,,PASS,No strong edge,low
2025_08_BUF_CAR,8,2025-10-26,13:00,BUF,CAR,73.1,40.8,-7.2,-7.0,-0.2,,PASS,No strong edge,high
