season,week,team,opponent_team,season_type,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,passing_first_downs,passing_epa,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_fumbles_forced,def_tds,fg_made,fg_att,fg_long,pat_made,pat_att,penalties,penalty_yards,team_score,opponent_score,injury_impact_score,noteworthy_injuries_count
2025,1,ARI,NO,REG,21,29,163,2,0,5,11,1.5247993258601382,27,146,0,0,6,1.1585398027950686,1.0,2,0,10,0,0,2,3,50.0,2,2,9,54,20.0,13.0,21.0,4.0
2025,1,ATL,TB,REG,27,42,298,1,0,1,16,9.624095207309598,28,69,1,0,6,-5.7664944543503225,1.0,3,0,7,0,0,2,3,41.0,2,2,8,55,20.0,23.0,28.5,6.0
2025,1,BAL,BUF,REG,14,19,209,2,0,2,8,8.798420577786704,29,238,3,1,10,10.486514349619986,1.0,3,0,4,1,0,2,2,52.0,4,5,7,51,40.0,41.0,21.0,4.0
2025,1,BUF,BAL,REG,33,46,394,2,0,1,19,14.233714385272462,31,108,3,0,9,1.9875707046617141,2.0,4,0,1,2,0,3,3,43.0,2,2,5,38,41.0,40.0,21.0,6.0
2025,1,CAR,JAX,REG,18,35,154,1,2,1,8,-15.40268957134174,25,113,0,1,5,0.019907066074665636,0.0,1,1,4,0,0,1,1,48.0,1,1,4,35,10.0,26.0,13.5,2.0
2025,1,CHI,MIN,REG,21,35,210,1,0,2,10,-6.988247807139811,26,119,1,0,7,2.5311888938449556,3.0,5,1,5,0,1,1,2,42.0,3,3,12,127,24.0,27.0,18.5,5.0
2025,1,CIN,CLE,REG,14,23,113,1,0,3,7,-0.3315927372285721,23,46,1,0,3,-5.00294650052092,2.0,5,2,6,0,0,1,1,35.0,2,2,7,33,17.0,16.0,18.0,5.0
2025,1,CLE,CIN,REG,31,45,290,1,2,2,13,-1.8421275162300694,24,49,1,0,5,-1.7932241758680902,3.0,7,0,5,0,0,1,2,45.0,1,2,7,53,16.0,17.0,21.5,6.0
2025,1,DAL,PHI,REG,21,34,188,0,0,0,9,1.6543752712656965,22,119,2,1,8,0.7568821354070678,1.0,5,0,0,0,0,2,2,53.0,2,2,4,42,20.0,24.0,15.0,4.0
2025,1,DEN,TEN,REG,25,40,176,1,2,1,9,-7.6557667409744266,30,151,1,0,5,-4.498567477625329,6.0,14,0,4,2,0,2,2,39.0,2,2,6,45,20.0,12.0,3.5,1.0
2025,1,DET,GB,REG,31,39,225,1,1,4,13,1.3743778578947285,22,46,0,0,2,-5.360156191396527,0.0,2,0,1,0,0,2,2,30.0,1,1,7,40,13.0,27.0,15.0,4.0
2025,1,GB,DET,REG,16,22,188,2,0,0,8,10.06529425203067,25,78,1,0,4,-2.4207472687050577,4.0,9,1,2,0,0,2,2,38.0,3,3,4,40,27.0,13.0,15.0,4.0
